,rep1_average,rep1_average_indel,average_between_bio_replicates,average_indel_between_bio_replicates,locus
01libbestpeg,0.0,1.7725258493353029,0.0,1.7725258493353029,01
01libendopeg,0.0,1.7725258493353029,0.0,1.7725258493353029,01
01libworstpeg,0.0,1.329394387001477,0.0,1.329394387001477,01
03libbestpeg,0.0,4.989003356870008,0.0,4.989003356870008,03
03libendopeg,0.0,3.8083111471235096,0.0,3.8083111471235096,03
03libworstpeg,0.0,2.940155110545202,0.0,2.940155110545202,03
05libbestpeg,0.0,2.1485287248949088,0.0,2.1485287248949088,05
05libendopeg,0.0,2.0862525299704187,0.0,2.0862525299704187,05
05libworstpeg,0.0,1.7593025066168457,0.0,1.7593025066168457,05
06libbestpeg,0.013533631073216944,4.104073622953038,0.013533631073216944,4.104073622953038,06
06libendopeg,0.013533631073216944,4.726620652321017,0.013533631073216944,4.726620652321017,06
06libworstpeg,0.013533631073216944,3.227771010962241,0.013533631073216944,3.227771010962241,06
09libbestpeg,0.0028694404591104736,3.7733142037302727,0.0028694404591104736,3.7733142037302727,09
09libendopeg,0.0028694404591104736,3.7073170731707314,0.0028694404591104736,3.7073170731707314,09
09libworstpeg,0.0028694404591104736,4.611190817790531,0.0028694404591104736,4.611190817790531,09
17libbestpeg,0.0,2.083333333333333,0.0,2.083333333333333,17
17libendopeg,0.0,1.1904761904761905,0.0,1.1904761904761905,17
17libworstpeg,0.0,1.984126984126984,0.0,1.984126984126984,17
20libbestpeg,0.02847380410022779,2.7904328018223232,0.02847380410022779,2.7904328018223232,20
20libendopeg,0.05694760820045558,2.3633257403189067,0.05694760820045558,2.3633257403189067,20
20libworstpeg,0.0,2.7904328018223232,0.0,2.7904328018223232,20
26libbestpeg,0.017111567419575632,5.800821355236139,0.017111567419575632,5.800821355236139,26
26libendopeg,0.017111567419575632,5.886379192334018,0.017111567419575632,5.886379192334018,26
26libworstpeg,0.034223134839151265,8.093771389459274,0.034223134839151265,8.093771389459274,26
28libbestpeg,0.0,63.52508132169149,0.0,63.52508132169149,28
28libendopeg,0.0,63.22547508988187,0.0,63.22547508988187,28
28libworstpeg,0.0,63.02859099469269,0.0,63.02859099469269,28
31libbestpeg,0.005953089653530182,2.988451006072151,0.005953089653530182,2.988451006072151,31
31libendopeg,0.005953089653530182,2.6134063578997497,0.005953089653530182,2.6134063578997497,31
31libworstpeg,0.005953089653530182,4.357661626384093,0.005953089653530182,4.357661626384093,31
33libbestpeg,0.0,3.188313073149925,0.0,3.188313073149925,33
33libendopeg,0.0,2.399232245681382,0.0,2.399232245681382,33
33libworstpeg,0.0,1.9513755598208573,0.0,1.9513755598208573,33
EMX12b10libbestpeg,0.002818012737417573,4.883616073944654,0.002818012737417573,4.883616073944654,EM
EMX12b10libendopeg,0.002818012737417573,2.7898326100433977,0.002818012737417573,2.7898326100433977,EM
EMX12b10libworstpeg,0.002818012737417573,2.088147438426422,0.002818012737417573,2.088147438426422,EM
FANCF2b10libbestpeg,0.024049197787473803,3.9268904387260792,0.024049197787473803,3.9268904387260792,FA
FANCF2b10libendopeg,0.024049197787473803,2.5766997629436217,0.024049197787473803,2.5766997629436217,FA
FANCF2b10libworstpeg,0.024048371581695753,1.9169987632266046,0.024048371581695753,1.9169987632266046,FA
HEK32b20libbestpeg,0.0,36.330213903743314,0.0,36.330213903743314,HE
HEK32b20libendopeg,0.0,36.06283422459893,0.0,36.06283422459893,HE
HEK32b20libworstpeg,0.0,34.75935828877005,0.0,34.75935828877005,HE
RNF22b14libbestpeg,0.00887705281846427,3.4561325639887555,0.00887705281846427,3.4561325639887555,RN
RNF22b14libendopeg,0.011836070424619026,3.6869359372688266,0.011836070424619026,3.6869359372688266,RN
RNF22b14libworstpeg,0.011836070424619026,2.544755141293091,0.011836070424619026,2.544755141293091,RN
