,rep1_average,rep2_average,rep1_average_indel,rep2_average_indel,average_between_bio_replicates,average_indel_between_bio_replicates,percentage_of_editing,library_editing_rates,PRIDICT_Score,locus
01libbestpeg,9.488803084,15.48672566,12.13342649,6.353864011,12.48776437,9.243645249,0.740216181,,88.09248209,1
01libendopeg,44.81642674,48.33220193,-0.054941505,1.221368998,46.57431433,0.583213746,0.012522219,77.06539299,81.57200813,1
01libworstpeg,13.13882341,15.65798221,0.791918552,1.455635902,14.39840281,1.123777227,0.078048742,,53.17238569,1
03libbestpeg,1.260990485,1.212869192,-1.103351812,0.903047374,1.236929839,0,0,,83.5811913,3
03libendopeg,13.58886754,12.40381196,1.963909852,1.73270679,12.99633975,1.848308321,0.142217606,8.54108873,83.56206417,3
03libworstpeg,10.16088722,9.080323638,8.994956939,7.693832064,9.620605431,8.344394501,0.86734609,,66.84687734,3
05libbestpeg,0.419630546,0.367087676,0.024607244,0.916151936,0.393359111,0.47037959,1.195801945,,5.385057628,5
05libendopeg,0.191515297,0.165912519,0.158437926,1.493505637,0.178713908,0.825971781,4.621754348,1.173419639,4.185961932,5
05libworstpeg,0.134641277,0.08226987,0.294346804,0.948714748,0.108455573,0.621530776,5.730740768,,4.591417685,5
06libbestpeg,0.246465063,0.234445455,-2.375623963,-1.226115824,0.240455259,0,0,,3.444805741,6
06libendopeg,0.37467183,0.197460654,-1.905431511,-0.67752477,0.286066242,0,0,28.85802783,4.633608833,6
06libworstpeg,1.890830245,1.031545358,-1.407843118,-0.357085354,1.461187801,0,0,,2.74275858,6
09libbestpeg,32.8553147,29.939974,-1.132546172,-0.303662877,31.39764435,0,0,,86.75957322,9
09libendopeg,9.935207467,8.713107049,-0.670092557,0.156700057,9.324157258,0,0,48.83153598,84.99295712,9
09libworstpeg,7.039671728,6.368180312,-0.891800788,-0.037212734,6.70392602,0,0,,69.82547641,9
17libbestpeg,27.21244651,24.93074181,3.010442104,3.120219944,26.07159416,3.065331024,0.117573594,,86.64432764,17
17libendopeg,10.46861687,7.496872208,-0.165368006,0.353672896,8.98274454,0.094152445,0.010481479,83.51044625,72.44193554,17
17libworstpeg,0.006572461,0.013607911,-0.736834123,-0.056033784,0.010090186,0,0,,15.42326659,17
20libbestpeg,61.92267861,58.06254044,-0.845141471,-0.121456483,59.99260952,0,0,,87.44949698,20
20libendopeg,70.53875459,45.50135664,-0.31351491,0.364810365,58.02005561,0.025647727,0.000442049,84.16802518,84.67924595,20
20libworstpeg,24.22365871,16.75393615,-0.804054855,-0.824197424,20.48879743,0,0,,57.66186714,20
26libbestpeg,54.99439323,46.36022414,-3.565352404,-2.594478764,50.67730869,0,0,,82.38364458,26
26libendopeg,40.80070784,27.647922,-3.601390481,-3.067138129,34.22431492,0,0,47.9979558,81.98647499,26
26libworstpeg,7.349056733,5.591967381,-5.547529483,-3.474126686,6.470512057,0,0,,84.22450423,26
28libbestpeg,25.92405245,22.29198613,0.201591779,1.229951772,24.10801929,0.715771776,0.029690194,,86.10644937,28
28libendopeg,2.002267213,2.119744395,5.675566125,1.384784115,2.061005804,3.53017512,1.712840941,60.80075784,66.41176939,28
28libworstpeg,2.778922132,2.980513823,11.46258978,6.426669638,2.879717977,8.944629707,3.106078365,,62.80304193,28
31libbestpeg,55.38468873,34.29471963,-0.843160718,0.2776385,44.83970418,0,0,,89.65828419,31
31libendopeg,61.51894127,47.22717991,0.52093423,0.887564172,54.37306059,0.704249201,0.012952171,78.05929202,39.95147943,31
31libworstpeg,0.397444245,0.261525178,-1.858544415,-0.086779011,0.329484712,0,0,,4.554769397,31
33libbestpeg,51.64533553,37.7608209,-0.546605611,-0.107549262,44.70307822,0,0,,82.7432394,33
33libendopeg,42.05008896,33.24053028,-0.517600485,0.123182782,37.64530962,0,0,65.85803074,79.39118147,33
33libworstpeg,24.39607834,22.80993446,2.018167295,1.874604322,23.6030064,1.946385808,0.08246347,,54.04078364,33
EMX12b10libbestpeg,8.034081067,8.652494337,-2.126015543,0.014772167,8.343287702,0,0,,85.54480076,EM
EMX12b10libendopeg,4.098729737,4.950405307,0.107846233,0.700532425,4.524567522,0.404189329,0.089332147,42.88570891,24.00898933,EM
EMX12b10libworstpeg,0.103873681,0.109358988,-0.438688766,0.190233821,0.106616334,0,0,,7.641558349,EM
FANCF2b10libbestpeg,36.48294154,30.73408698,-1.341901898,0.438965618,33.60851426,0,0,,92.0327723,FA
FANCF2b10libendopeg,15.30862027,13.13600762,-0.161300948,0.162726976,14.22231394,0.000713014,5.01335E-05,73.39881367,71.14577889,FA
FANCF2b10libworstpeg,0.429377159,0.446006153,1.396753927,0.79741571,0.437691656,1.097084818,2.506524405,,41.24146402,FA
HEK32b20libbestpeg,9.035170313,10.4412709,-0.86729217,1.608590165,9.738220608,0.370648998,0.038061265,,89.67216015,HE
HEK32b20libendopeg,1.761807874,1.719274349,0.6005569,0.50166243,1.740541111,0.551109665,0.316631225,71.02652227,38.28842342,HE
HEK32b20libworstpeg,7.117263776,7.945206564,0.213622709,-0.033767557,7.53123517,0.089927576,0.011940614,,48.74672294,HE
RNF22b14libbestpeg,65.5212974,61.84531113,-1.560204158,0.12898139,63.68330426,0,0,,86.77494526,RN
RNF22b14libendopeg,12.27126636,8.931138599,-1.675735708,-0.4513201,10.60120248,0,0,56.30620515,73.71508479,RN
RNF22b14libworstpeg,1.151176469,1.590288253,-1.111642912,-0.426605823,1.370732361,0,0,,46.7242837,RN
