,rep1_average,rep1_average_indel,rep2_average,rep2_average_indel,rep3_average,rep3_average_indel,average_between_bio_replicates,average_indel_between_bio_replicates,locus
327_endo,0.01323451561672843,4.80412916887242,0.0,4.245742092457421,0.0,4.022076578130389,0.004411505205576143,4.357315946486743,327_endo
327_integ,0.0,5.131737558119511,0.0,4.269430051813472,0.011741223435481977,4.39121756487026,0.003913741145160659,4.597461724934415,327_integ
328_endo,0.01323451561672843,5.26071995764955,0.012165450121654502,4.306569343065694,0.027595722662987238,4.146257330113833,0.01766522946712339,4.571182210276358,328_endo
328_integ,0.0,4.003788531083175,0.0,3.2532117695814335,0.011741223435481977,3.7454502759187505,0.003913741145160659,3.667483525527786,328_integ
329_endo,0.014384349827387802,3.783084004602992,0.0463893613731251,3.061697850626256,0.04144218814753419,3.5122254455035224,0.03407196644934903,3.452335766910924,329_endo
329_integ,0.0,3.271459337503846,0.0,2.6851098454027666,0.0,2.566633761105627,0.0,2.84106764800408,329_integ
330_endo,0.0647295742232451,5.128020713463751,0.0,3.30910777794959,0.020721094073767096,3.8230418566100286,0.028483556099004066,4.0867234493411235,330_endo
330_integ,0.0,2.645882473592452,0.0,2.034174125305126,0.0,2.665350444225074,0.0,2.448469014374217,330_integ
331_endo,0.007540340823405218,5.504448801085808,0.018412815319462345,4.78733198306021,0.009863878477017163,5.296902742158217,0.011939011539961575,5.196227842101412,331_endo
331_integ,0.024372410431391666,3.4608822812576165,0.0,2.837370242214533,0.0,2.976190476190476,0.00812413681046389,3.091480999887542,331_integ
332_endo,0.0,3.966219273111145,0.0,3.3327195728226844,0.0,3.590451765634248,0.0,3.6297968705226924,332_endo
332_integ,0.0,2.4616134535705583,0.0,1.7301038062283738,0.0,3.373015873015873,0.0,2.5215777109382684,332_integ
333_endo,0.062058800713676206,4.801799705220697,0.0,3.5055770544047347,0.028190189813944746,3.5895508363089648,0.030082996842540316,3.9656425319781317,333_endo
333_integ,0.010255358424776945,3.1278843195569688,0.0,2.156224572823434,0.0,2.171767028627838,0.0034184528082589817,2.4852919736694132,333_integ
334_endo,0.0,2.8314327825614773,0.0,2.4129296608240383,0.04698364968990791,2.941176470588235,0.015661216563302636,2.7285129713245837,334_endo
334_integ,0.010255358424776945,3.568864731822377,0.0,2.9698942229454843,0.0,2.665350444225074,0.0034184528082589817,3.0680364663309785,334_integ
335_endo,0.0,0.023815194093831864,0.0,0.04187604690117253,0.0,0.02920560747663551,0.0,0.03163228282387997,335_endo
335_integ,0.0066844919786096255,3.021390374331551,0.0,3.040919282511211,0.0,3.434642945391648,0.0022281639928698753,3.16565086741147,335_integ
336_endo,0.0,4.074766355140187,0.03453038674033149,4.247237569060774,0.039808917197452234,3.9410828025477707,0.02477976797926124,4.08769557558291,336_endo
336_integ,0.0,3.9705882352941173,0.0,3.601457399103139,0.0,3.85470719051149,0.0,3.8089176083029153,336_integ
337_endo,0.04948657676605221,2.9320796733885937,0.04317167937832782,2.590300762699669,0.0720164609053498,2.6131687242798356,0.05489157234990994,2.7118497201226996,337_endo
337_integ,0.0,2.7473262032085564,0.0,2.6205156950672643,0.008236553825879253,2.3474178403755865,0.002745517941959751,2.5717532462171353,337_integ
338_endo,0.012371644191513053,3.7609798342199676,0.0,2.7342063606274283,0.0,2.674897119341564,0.004123881397171018,3.0566944380629866,338_endo
338_integ,0.006684045184145445,3.0145043780495957,0.0,2.6065022421524664,0.0,2.6268115942028984,0.002228015061381815,2.749272738134987,338_integ
339_endo,0.0,3.7442396313364052,0.0,3.432356483340024,0.013294336612603033,3.9617123105557033,0.004431445537534344,3.7127694750773776,339_endo
339_integ,0.0,3.8020960272971,0.0,4.221453287197232,0.0,3.373015873015873,0.0,3.7988550625034017,339_integ
340_endo,0.0,3.1682027649769586,0.0,2.9506222400642312,0.013294336612603033,3.2438181334751395,0.004431445537534344,3.12088104617211,340_endo
340_integ,0.0,3.728978796002925,0.0,3.1141868512110724,0.0,2.7777777777777777,0.0,3.2069811416639253,340_integ
341_integ,0.09471327707938694,2.1784053728259,0.22797927461139897,1.9896373056994816,0.18785957496771163,2.2777973464835033,0.1701840422194992,2.1486133416696283,341_integ
342_integ,0.0,2.6347511623902187,0.02072538860103627,2.0932642487046635,0.011741223435481977,2.3717271339673593,0.010822204012172749,2.3665808483540807,342_integ
343_endo,0.013664935774801858,3.361574200601257,0.0,2.888215368158317,0.0,3.552060737527115,0.0045549785916006195,3.267283435428896,343_endo
343_integ,0.006830601092896175,3.558743169398907,0.019646365422396856,3.3595284872298627,0.011244799280332845,3.339705386258855,0.012573921931875292,3.4193256809625416,343_integ
344_endo,0.006832467887400929,3.341076796939054,0.0,3.4765555357461224,0.013557483731019523,3.2944685466377437,0.006796650539473484,3.37070029310764,344_endo
345_endo,0.009337068160597572,3.7068160597572364,0.0,4.105775922059847,0.017546938059308653,3.4918406738024217,0.008961335406635408,3.7681442185398346,345_endo
345_integ,0.01366120218579235,3.7431693989071038,0.0,3.732809430255403,0.0,3.9581693466771615,0.004553734061930783,3.8113827252798895,345_integ
346_endo,0.0,21.79683024632423,0.035932446999640676,19.834710743801654,0.017828489926903193,17.168835799607773,0.017920312308847955,19.600125596577886,346_endo
346_integ,2.151639344262295,2.7868852459016393,2.3379174852652262,2.6326129666011786,3.3621949848195207,3.1035646013718656,2.617250604782347,2.8410209379582283,346_integ
